name,authors,year,journal,title,outcome,treat,iv,unit_of_analysis,multiple_cases,iv_type,iv_subtype,experimental,ols_report_coef,ols_report_se,f_report,original_estimation_f_type,iv_report_coef,iv_report_se,iv_report_t,expected_ols_upward_bias,late_defense,late_framework_possible,justify_magnitude,ols_in_main,boot_se,original_code,iv_model,ols_model,selling_null
Schleiter2016,"Schleiter P,Tavits M",2016,JOP,The Electoral Benefits of Opportunistic Election Timing,vote share of Prime Minister's party,opportunistic election calling,Prime Minister dissolution power,election,0,theory,other,0,3.083,1.037,57.19,cluster,5.028,2.425,2.07,0,0,0,0,1,0,"ivregress 2sls pm_voteshare_next pm_voteshare gdp_chg1yr cpi1yr  dumcpi1yr i.decade (term2 = disspm) if term3!=1, first cluster(countryn)",table3(b4),table3(c4),0
Sexton2019,"Sexton, Renard; Wellhausen, Rachel L.; Findley, Michael G.",2019,AJPS,How government reactions to violence worsen social welfare: evidence from Peru,welfare outcome,health budget,soldier fatalities,department * year,0,theory,other,0,NA,NA,18.1,cluster,-15.1,7.6,1.99,0,0,0,0,0,0,"ivregress 2sls F.infant_mortality i.year i.deptcode L.gk_prebudget ln_pbi_pc  execution_nohealth (socialservice_b= L.gk_budget), vce( cl deptcode)",table3(1),,0
Spenkuch2018,"Spenkuch JL,Tillmann P",2018,AJPS,Elite influence? Religion and the electoral success of the Nazis,Nazi vote share,religion of voters living in the same areas more than three and a half centuries later,individual princes’ decisions concerning whether to adopt Protestantism,electoral district,0,theory,history,0,-0.25,0.019,212.74,cluster,-0.254,0.018,14.11,0,0,0,0,1,0,"ivreg2 r_NSDAP_NOV1932_p (r_1925C_kath=r_kath1624 r_gem1624) r_1925C_juden r_M1925C_juden r_1925C_others r_M1925C_others  [aw=r_wahlberechtigte_NOV1932] if r_MNSDAP_NOV1932_p==0 & r_M1925C_kath==0 & KREIS==1, ffirst cluster(WKNR)",table2(B1),table1(1),0
Stewart2017,"Stewart MA,Liou YM",2017,JOP,Do Good Borders Make Good Rebels? Territorial Control and Civilian Casualties,civilian casualties,foreign territory control,log total border length and the total number of that state’s neighbors,insurgency * year,0,theory,geography,0,0.71,0.25,99.96,robust,1.19,0.55,2.16,0,0,0,0,1,1,"xtivreg2 oneside_best_log bd_log terrdum strengthcent_ord rebstrength_ord yeardum44-yeardum57 nonmilsupport rebestsize l1popdensity l1gdppc_log  l1gdppc_change (exterrdum_low=total_border_ln), fe first robust savefirst",table3(1),table2(1),0
Stokes2016,Stokes LC,2016,AJPS,Electoral Backlash against Climate Policy: A Natural Experiment on Retrospective Voting and Local Resistance to Public Policy,vote turnout,turbine location,wind speed,precinct,0,theory,climate,0,-0.039,0.009,68,cluster,-0.077,0.026,2.96,0,0,1,0,1,0,"ivreg(chng_lib ~ prop_3km + mindistlake + mindistlake_sq + longitude + long_sq + latitude + lat_sq + long_lat + as.factor(ed_id) | avg_pwr_log + mindistlake + mindistlake_sq + longitude + long_sq + latitude + lat_sq + long_lat + as.factor(ed_id), data = matchobj)",table2(2),table1(2),0
Tajima2013,Tajima Y,2013,AJPS,The institutional basis of intercommunal order: Evidence from Indonesia's democratic transition,incidence of communal violence,distance to police posts (as a proxy for exposure to military intervention),distance to health station,village and urban neighborhood,0,theory,geography,0,-0.0024,6E-04,204.6,cluster,-0.0041,0.0014,2.93,-1,1,0,LATE,1,0,"xi: ivreg2 horiz2 (z2_distpospol=z2_dispuskes) flat z2_altitude urban natres z2_logvillpop z2_logdensvil z2_povrateksvil z2_fgtksvild z2_covyredvil z2_npwperhh z2_ethfractvil z2_ethfractsd z2_ethfractd z2_relfractvil z2_relfractsd z2_relfractd z2_ethclustsd z2_ethclustvd z2_relclustsd z2_relclustvd z2_wgcovegvil z2_wgcovegsd z2_wgcovegd z2_wgcovrgvil z2_wgcovrgsd z2_wgcovrgd natdis javanese_off_java islam split_kab03 split_vil03 i.prop [pw=probit_touse_wts03], first cluster(kabid03)",table1(4),table1(1),0
Trounstine2016,Trounstine J,2016,AJPS,Segregation and Inequality in Public Goods,direct general expenditures,racial segregation,the number of waterways in a city; logged population,city * year,0,theory,geography,0,-1.153,0.22,3371,standard,-2.676,0.93,2.88,0,0,0,0,1,0,ivreg2 dgepercap_cpi (H_citytract_NHW_i= total_rivs_all logpop ) dgepercap_cpilag diversityinterp pctblkpopinterp pctasianpopinterp pctlatinopopinterp medincinterp pctlocalgovworker_100 pctrentersinterp pctover65 pctcollegegradinterp northeast south midwest y5 - y9 if dgepercap_cpi~=0,table5(1),table2(1),0
Urpelainen2022,"Johannes Urpelainen,Alice Tianbo Zhang",2022,JOP,Electoral Backlash or Positive Reinforcement? Wind Power and Congressional Elections in the United States,Democratic vote,wind turbine capacity,time trend multiplied by the (timeinvariant) wind resource of the electoral district,district*year,0,econometrics,interaction,0,0.006,0.003,16.61,cluster,0.03,0.011,2.73,-1,0,0,omitted variable ,1,0,"reghdfe demvotesmajorpercent (cum_capacity_turbine= inter), absorb(stateyear_fixed district_fixed) ffirst stages(first ols reduced) vce(cluster district_fixed) old",table3(B1),table3(A1),0
Vernby2013,Vernby K,2013,AJPS,Inclusion and public policy: Evidence from Sweden’s introduction of noncitizen suffrage,municipal education and social spending,share of noncitizens in the electorate,immigration Inflow 1940–1950; immigration Inflow 1960–1967,municipality * term,0,theory,history,0,8.933,2.265,79.64,cluster,10.59,2.84,3.73,1,0,0,selection bias,1,0,"xi: ivreg2 D.schooling  (noncitvotsh=inv1950 inv1967)  Taxbase2 L.Taxbase2  manu L.manu pop L.pop  if term==2, first robust cluster(lan)",table3(2),table1(2),0
Webster2022,"Steven W. Webster,Elizabeth C. Connors,Betsy Sinclair",2022,JOP,The Social Consequences of Political Anger,social polarization,percentage of angry words that a respondent wrote in his or her emotional recall prompt,treatment assignment indicator,individual,0,experiment,na,1,NA,NA,799.95,robust,0.011,0.004,2.75,0,1,1,0,0,0,"ivreg(fourpack_1_01 ~ anger + democrat | democrat + treated, data = liwc_dat)",table2(1),,0
West2017,West EA,2017,JOP,Descriptive Representation and Political Efficacy: Evidence from Obama and Clinton,Policy efficacy,Obama win,IEM (prediction market) price,individual,0,theory,other,0,0.03,0.01,NA,robust,0.21,0.09,2.33,0,0,0,0,1,0,"ivreg newindex wa01 wa02 wa03 wa04 wa05  stated* wfc02 ra01  rd01 religiond* partyd* wd02 rkey wave_1 dt_w12 dt_w12_2 (obama=avgprice)  if black==1 & mb01!=. & mb02!=. & mb03!=. & mb04!=. & obama!=., robust",table1(4),table1(1),0
Wood2022,"Abby K. Wood, Christian R. Grose",2022,AJPS,Campaign Finance Transparency Affects Legislators’ Election Outcomes and Behavior,legislator retired,incumbent found to have campaign finance violations,random audit,House member/district,0,experiment,na,1,0.14,0.08,NA,robust,0.29,0.16,1.81,0,1,1,0,1,0,"ivreg retire__or_resign (findings=audit) xwhat south, cl(stcd)",table2(1),table1(1),0
Zhu2017,Zhu B,2017,AJPS,"MNCs, rents, and corruption: Evidence from China",corruption,MNC activity,weighted geographic closeness,province * period,0,theory,geography,0,NA,NA,45.92,robust,0.49,0.1,4.9,-1,0,0,selection bias,0,1,"ivreg2 corruption1 (MNC=lwdist) lgdpcap6978 gdp6978 population lgovtexp9302 pubempratio leduc pwratio female time, gmm2s robust ffirst",table1(1),,0
Ziaja2020,"Ziaja, Sebastian",2020,JOP,"More donors, more democracy",democracy scores,number of democracy donors,constructed instrument,country * year,0,econometrics,interaction,0,0.65,0.2,187.39,cluster,0.87,0.1310924,6.64,0,1,1,LATE,1,0,"felm(v2x.polyarchy.n ~ l.pop.log.r + l.gdpcap.log.r + l.war25 | cnamef + periodf | (l.CMgnh ~ l.ZwvCMgwh94) |cnamef, data = dX %>% filter(smpl == 1))",table1(B2),table1(A2),0
Schubiger2021,Livia Isabella Schubiger,2021,JOP,State Violence and Wartime Civilian Agency: Evidence from Peru,location of a community inside or outside the emergency zone,exposure to state violence,counterinsurgent mobilization,community,0,theory,geography,0,NA,NA,27,robust,0.31,0.097,3.2,0,0,0,0,0,0,"xtivreg2 autodefensa distance  (violence_est_period2 = emzone) if abs(distance) <= 75000, first rf saverf saverfprefix(i75) savefirst savefprefix(i75) robust fe i(subset)",table1(1),,0
Lei2022,"Lei, Zhenhuan and Zhou, Junlong Aaron",2022,JOP,Private Returns to Public Investment: Political Career Incentives and Infrastructure Investment in China,mayor promotion,subway approval,whether the city has more than 3 million residents* population size,city*year,0,rules & policy changes,fuzzy RD,0,NA,NA,53.47,cluster,0.478,0.051,9.37,0,1,1,0,0,0,"ivreg2 Mayor_promotion3y (Mayor_plan =iv1) Per_pop_2 iv1_int i.provinceyear i.City_Code if abs(Per_pop_2) <= 1.058  & fsj2 == 0, cluster(City_Code)",table3(A),,0
